name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
GULASS WICK Men's Synthetic Lace Up Casual Shoes (Tan),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/81ydb9zzfHL._AC_UL320_.jpg,https://www.amazon.in/GULASS-WICK-Synthetic-Casual-Loafers/dp/B08DRLLGQS/ref=sr_1_5887?qid=1679148829&s=shoes&sr=1-5887,3.3,9,₹584,₹999
MUTAQINOTI Men's Tan Classic Italian Leather Loafer Casual Formal Slip On Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61uw+csMtxL._AC_UL320_.jpg,https://www.amazon.in/MUTAQINOTI-Classic-Italian-Leather-MQLXDYRBTN/dp/B08YRG32Y5/ref=sr_1_3323?qid=1679148740&s=shoes&sr=1-3323,5.0,1,"₹1,499","₹4,999"
Puma Unisex-Adult Prevail Ir Reality Blue Turquoise-whispe Sneakers,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61dm88k2g9L._AC_UL320_.jpg,https://www.amazon.in/Puma-Prevail-Turquoise-Whispe-Sneakers-6-37087301/dp/B07V6N7VJH/ref=sr_1_9972?qid=1679148977&s=shoes&sr=1-9972,5.0,3,"₹3,926","₹7,999"
TARQ Casual Sneakers Stylish Fancy and Comfort Shoes for Men,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/519k-hDLrHL._AC_UL320_.jpg,https://www.amazon.in/TARQ-Casual-Sneakers-Stylish-Comfort/dp/B09Z2Q47SY/ref=sr_1_6653?qid=1679148855&s=shoes&sr=1-6653,2.9,79,₹449,"₹1,999"
Pro by Khadim's Men's Black Running Sports Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71S41nQ-mLL._AC_UL320_.jpg,https://www.amazon.in/Pro-Khadims-Running-Activity-Sneakers/dp/B0855X2TCQ/ref=sr_1_13253?qid=1679149100&s=shoes&sr=1-13253,3.8,18,₹720,"₹1,799"
DIGITUS CRUCIS Men's Running Sports Gym Lightweight Sneakers White Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61acWCrwlbL._AC_UL320_.jpg,https://www.amazon.in/DIGITUS-CRUCIS-Sneakers-Trending-Numeric_9/dp/B0BSS9189J/ref=sr_1_3176?qid=1679148733&s=shoes&sr=1-3176,5.0,1,₹349,₹999
BUCIK Synthetic Leather Lace-Up Casual/Walking/Sneakers for Men,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/715wMqBh1GL._AC_UL320_.jpg,https://www.amazon.in/BUCIK-Black-Leather-Formal-Shoes/dp/B082W389F6/ref=sr_1_14524?qid=1679149147&s=shoes&sr=1-14524,5.0,4,₹764,"₹2,499"
Men's Black Lofer Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/612XSaUeh3L._AC_UL320_.jpg,https://www.amazon.in/Mens-Black-Lofer-Shoes-Numeric_9/dp/B0B4DVBKZR/ref=sr_1_3347?qid=1679148740&s=shoes&sr=1-3347,5.0,2,₹430,₹999
Woodland Mens Gc 2509117 Sneaker,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71GJXkRV5kL._AC_UL320_.jpg,https://www.amazon.in/Woodland-Leather-Sneakers-5-GC-2509117WS_Rust/dp/B08J5CW8VX/ref=sr_1_4841?qid=1679148792&s=shoes&sr=1-4841,3.9,172,"₹2,596","₹3,995"
tresmode Casual Leather Loafer for Men,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/51ZnB31iLsL._AC_UL320_.jpg,https://www.amazon.in/tresmode-221-CLIZARD-Brown-Loafers-Mens/dp/B0B3DXPK1V/ref=sr_1_11223?qid=1679149022&s=shoes&sr=1-11223,5.0,3,"₹3,200","₹6,990"
Fila Mens SOLIEVE Casual Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/612i4Ukk6KL._AC_UL320_.jpg,https://www.amazon.in/Fila-SOLIEVE-Casual-Shoes-11010153/dp/B0BFQQB4SN/ref=sr_1_6344?qid=1679148846&s=shoes&sr=1-6344,1.0,1,"₹1,999","₹3,999"
"Zenwear Multicolor Casual Loafers, Sneakers Shoes for Men Pack of 2",men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61voHyP5FtL._AC_UL320_.jpg,https://www.amazon.in/Zenwear-Multicolor-Loafers-Sneakers-1660-1200/dp/B08QZGBHFV/ref=sr_1_14291?qid=1679149138&s=shoes&sr=1-14291,3.0,60,₹549,₹998
Liberty Mens Bumper Sneaker,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61bKBEBbUAL._AC_UL320_.jpg,https://www.amazon.in/Liberty-Gliders-Bumper-Casual-Shoe-9/dp/B0B9ZLP1FB/ref=sr_1_673?qid=1679148642&s=shoes&sr=1-673,3.8,51,₹467,₹899
Liberty Men JOHL-202 Formal Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71Tz7FtM81L._AC_UL320_.jpg,https://www.amazon.in/Healers-Liberty-Loafers-8-India-5131907166420/dp/B07CTNZK26/ref=sr_1_14803?qid=1679149158&s=shoes&sr=1-14803,1.0,2,"₹3,039","₹3,999"
Sparx Men's Running Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71X8gXn3VXL._AC_UL320_.jpg,https://www.amazon.in/Sparx-SM-657-Golden-Running-SX0657GBKGO0008/dp/B08MCT7JTR/ref=sr_1_44?qid=1679148619&s=shoes&sr=1-44,4.2,"4,807","₹1,299","₹1,649"
LOUIS STITCH Men's Handmade Tortilla Brown Genuine Leather Moccasins Loafers for Men,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81pn1bHB17L._AC_UL320_.jpg,https://www.amazon.in/LOUIS-STITCH-Moccasins-Amazingly-Comfortable/dp/B07YRQ94CP/ref=sr_1_14564?qid=1679149149&s=shoes&sr=1-14564,5.0,1,"₹1,569","₹4,999"
Shoefly Men's Trendy & Stylish Sports Sneakers Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/712lXvDMmGL._AC_UL320_.jpg,https://www.amazon.in/Shoefly-AMZ_9309-Black-Trendy-Sneakers/dp/B0B3VNM7ZV/ref=sr_1_998?qid=1679148654&s=shoes&sr=1-998,3.1,8,₹299,₹499
Skechers Mens Bobs Sparrow 2.0 Sneaker,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/81w6aaMW2vL._AC_UL320_.jpg,https://www.amazon.in/Skechers-Mens-Casual-Shoes-BOBS-Sparrow-2-0-118050-NVY-11/dp/B0BM65FPJJ/ref=sr_1_955?qid=1679148652&s=shoes&sr=1-955,5.0,1,"₹3,460","₹5,999"
KNOOS Genuine Leatherformal shoes-S7-7704,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61Q3jLVV7NL._AC_UL320_.jpg,https://www.amazon.in/KNOOS-Genuine-Leatherformal-shoes-S7-7704-BL-9-Black/dp/B0BLLNRD1B/ref=sr_1_5069?qid=1679148800&s=shoes&sr=1-5069,5.0,1,₹999,"₹4,999"
Centrino Mens 1151 Sneakers,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/81jeBIwWHTL._AC_UL320_.jpg,https://www.amazon.in/Centrino-Black-Sneakers-9-India-1151-03/dp/B07H3SCFC4/ref=sr_1_10580?qid=1679148999&s=shoes&sr=1-10580,3.5,200,₹799,₹999
VELOUR INDIA Zardozi Hand Embroidery Navy Blue Velvet Loafers Handmade Casual Shoes for Men,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/616oWCPPi0L._AC_UL320_.jpg,https://www.amazon.in/VELOUR-INDIA-Embroidery-Handmade-Numeric_7/dp/B09Q86DFF6/ref=sr_1_8006?qid=1679148905&s=shoes&sr=1-8006,3.0,1,"₹1,299","₹2,999"
Centrino Mens 6017-01 Sneaker,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Yx9RQmgoL._AC_UL320_.jpg,https://www.amazon.in/Centrino-Mens-Navy-Sneaker-6017-04/dp/B09PLFM6WN/ref=sr_1_1925?qid=1679148690&s=shoes&sr=1-1925,2.6,30,"₹1,079","₹2,499"
Puma Unisex-Adult Electron 2.0 Walking Shoe,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61KLB+T119L._AC_UL320_.jpg,https://www.amazon.in/Puma-Unisex-Adult-Electron-Castlerock-Quarry-Team-Sneaker/dp/B0BFDWMZ6B/ref=sr_1_683?qid=1679148643&s=shoes&sr=1-683,4.4,3,"₹4,199","₹5,999"
GULASS WICK Men Synthetic Lace Up Casual Shoes and Loafers Shoes (Black),men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71TaBS2Aw-L._AC_UL320_.jpg,https://www.amazon.in/GULASS-WICK-Synthetic-Casual-Loafers/dp/B08DRKT86P/ref=sr_1_4673?qid=1679148787&s=shoes&sr=1-4673,1.4,4,₹584,₹999
LOUIS STITCH Men's Federal Blue Italian Suede Leather Loafer Tassel Penny Casual Loafers for Men (Prague SUTA) - 10 UK,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61+mhyCZlVL._AC_UL320_.jpg,https://www.amazon.in/LOUIS-STITCH-Demesure-Handmade-Moccasins/dp/B082ZLZJ8C/ref=sr_1_14523?qid=1679149147&s=shoes&sr=1-14523,5.0,2,"₹1,699","₹6,999"
Puma Men's Cabimas Idp Sneakers,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61XgZzMNgXL._AC_UL320_.jpg,https://www.amazon.in/Puma-37143601-Cabimas-IDP-Blue/dp/B07NQJVB5J/ref=sr_1_8430?qid=1679148921&s=shoes&sr=1-8430,3.8,86,"₹2,799","₹3,999"
Axter Men's Sports Sneakers Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71Nm5lGWNTL._AC_UL320_.jpg,https://www.amazon.in/Axter-Stylish-AZ_9312-Orange-Sneakers/dp/B0B421RBGD/ref=sr_1_19047?qid=1679149317&s=shoes&sr=1-19047,3.0,2,₹349,₹499
Men's Elevator Height Increasing Brouge Casual Ankel Boots,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71gF3e4feVL._AC_UL320_.jpg,https://www.amazon.in/Elevator-Height-Increasing-Brouge-Casual/dp/B08SCCRR31/ref=sr_1_6248?qid=1679148841&s=shoes&sr=1-6248,2.8,11,"₹1,799","₹2,999"
MAX Men Canvas Shoes (SU21MFCS1075GREY_GREY_41),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/41IOm+50lGL._AC_UL320_.jpg,https://www.amazon.in/MAX-Men-Canvas-Shoes-SU21MFCS1075GREY_GREY_41/dp/B091M5L122/ref=sr_1_2862?qid=1679148723&s=shoes&sr=1-2862,5.0,1,₹482.09,₹999
Bond Street by (Red Tape) Mens Moccasins,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61vd-499nwL._AC_UL320_.jpg,https://www.amazon.in/Bond-Street-Red-Tape-BSS0333D/dp/B0842MK8L5/ref=sr_1_4122?qid=1679148766&s=shoes&sr=1-4122,2.1,78,₹841,"₹5,399"
"Bikers Boots : High Ankle Leather Boots for Men, Trekking, Hiking, Driving with High Performance Rubber Sole. Sizes 5 to 1...",men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/711qxhgo+fL._AC_UL320_.jpg,https://www.amazon.in/Bikers-Boots-Performance-Available-numeric_8/dp/B08Y2HSM43/ref=sr_1_13110?qid=1679149095&s=shoes&sr=1-13110,5.0,1,"₹3,500","₹7,500"
Amico Men's Fashion Sandals White,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61KAI-0PfxL._AC_UL320_.jpg,https://www.amazon.in/Amico-Mens-Fashion-Sandals-White/dp/B08WWZDW5F/ref=sr_1_8776?qid=1679148933&s=shoes&sr=1-8776,3.3,7,₹499,"₹1,499"
Bourge Mens Magic-z9 Sneakers,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/713O9rcp5sL._AC_UL320_.jpg,https://www.amazon.in/Bourge-Magic-27-Black-Sneakers-9-Magic-27-09/dp/B085SLK6QL/ref=sr_1_2437?qid=1679148707&s=shoes&sr=1-2437,3.7,118,₹459,"₹2,299"
Vegan Basics Men's 153 Boot,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61SWeVHfelL._AC_UL320_.jpg,https://www.amazon.in/Vegan-Basics-Coffee-Brown-Chukka/dp/B07L9TTKHC/ref=sr_1_5876?qid=1679148829&s=shoes&sr=1-5876,1.0,1,"₹1,304","₹2,499"
Lazard Men's Footwear,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61JcxXN-fAL._AC_UL320_.jpg,https://www.amazon.in/Lazard-Mens-Navy-Sneakers-56606756690/dp/B07XGQDTLM/ref=sr_1_2187?qid=1679148698&s=shoes&sr=1-2187,3.7,14,₹599,₹999
MAX Men Textured Lace-Up Casual Shoes ( PA20MFSP1023NAVY_43),men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41zpQvAGQNL._AC_UL320_.jpg,https://www.amazon.in/Textured-Lace-Up-Casual-Shoes-PA20MFSP1023NAVY_NAVY_43/dp/B091M8WDN3/ref=sr_1_14175?qid=1679149135&s=shoes&sr=1-14175,5.0,1,"₹1,154","₹1,499"
