name,main_category,ratings,no_of_ratings,discount_price,text_for_embedding
Levi's Women T-Shirt,apparel_womens,4.3,150,484.0,apparel_womens:Levi's Women T-Shirt
Phenomenal Oval Sunglasses For women Brown,apparel_womens,1.0,3,199.0,apparel_womens:Phenomenal Oval Sunglasses For women Brown
Aadvi Enterprise Straight fit jeans for Women's|High Waist Regular Fit Boyfriend Jeans for Girl's|Mom fit Jeans for ladies,apparel_womens,5.0,3,644.0,apparel_womens:Aadvi Enterprise Straight fit jeans for Women's|High Waist Regular Fit Boyfriend Jeans for Girl's|Mom fit Jeans for ladies
Lux Cottswool Women's Thermal Top and Lower Set,apparel_womens,4.1,143,874.0,apparel_womens:Lux Cottswool Women's Thermal Top and Lower Set
Samajh Women's Pure Cotton Chikankari Embroidery Work Straight Calf Length Kurti,apparel_womens,3.7,46,849.0,apparel_womens:Samajh Women's Pure Cotton Chikankari Embroidery Work Straight Calf Length Kurti
MANSORY ENTERPRISE Women’s Unstitched Khadi Fabric Salwar Suit Dress Material With Bandhani Silk Dupatta Set,apparel_womens,3.1,7,790.0,apparel_womens:MANSORY ENTERPRISE Women’s Unstitched Khadi Fabric Salwar Suit Dress Material With Bandhani Silk Dupatta Set
RADHA LAKSHMI Women's Kanjivaram Banarasi Soft Silk Saree With Blouse piece(AG Visa),apparel_womens,1.0,2,949.0,apparel_womens:RADHA LAKSHMI Women's Kanjivaram Banarasi Soft Silk Saree With Blouse piece(AG Visa)
AJ FASHIONS Women's Cotton Tummy Control Panties (Pack of 3),apparel_womens,3.3,1290,298.0,apparel_womens:AJ FASHIONS Women's Cotton Tummy Control Panties (Pack of 3)
EasyBull Inlet Nozzle Pack of 3 Suitable for Starq Jpt Resqtech Bosch Karcher Pressure washers,home_appliances,4.2,139,280.0,home_appliances:EasyBull Inlet Nozzle Pack of 3 Suitable for Starq Jpt Resqtech Bosch Karcher Pressure washers
"Yellow Weaves Top Loading Fully Automatc Washing Machine Cover for 6 kg, 6.5 kg,7kg, 7.5 kg(Black Grey)",home_appliances,3.6,633,299.0,"home_appliances:Yellow Weaves Top Loading Fully Automatc Washing Machine Cover for 6 kg, 6.5 kg,7kg, 7.5 kg(Black Grey)"
"Jaipan High Performance Heavy Duty Beater 450 Watt :: 5 Speed :: Dough and Beater Hooks, Steel Blue & White",home_appliances,3.6,61,1599.0,"home_appliances:Jaipan High Performance Heavy Duty Beater 450 Watt :: 5 Speed :: Dough and Beater Hooks, Steel Blue & White"
"KPS HUB Jumbo Stainless Steel 7.5 inch Dia. Puri Maker Press Machine With Handle, Manual Stainless Steel Roti Press, Papa...",home_appliances,5.0,1,649.0,"home_appliances:KPS HUB Jumbo Stainless Steel 7.5 inch Dia. Puri Maker Press Machine With Handle, Manual Stainless Steel Roti Press, Papa..."
DERIKE Portable Mini AC USB Battery Operated Air Conditioner Mini Water Air Cooler Cooling Fan Blade Less Duel Blower with...,home_appliances,1.0,1,489.0,home_appliances:DERIKE Portable Mini AC USB Battery Operated Air Conditioner Mini Water Air Cooler Cooling Fan Blade Less Duel Blower with...
"Saptraag Gomti Chakra (1.5 cm, Brownish) -108 Pieces",home_appliances,4.3,215,360.0,"home_appliances:Saptraag Gomti Chakra (1.5 cm, Brownish) -108 Pieces"
Panasonic MK-GB1 3-Litre 200-Watt Stand Mixer (White),home_appliances,3.9,392,3449.0,home_appliances:Panasonic MK-GB1 3-Litre 200-Watt Stand Mixer (White)
HAZEL Alfa Cooker Container | Cooker Vessel Set For 3 Litre I Set of 2 with Glossy Finish Utensil Set Stainless Steel Cook...,home_appliances,3.9,645,429.0,home_appliances:HAZEL Alfa Cooker Container | Cooker Vessel Set For 3 Litre I Set of 2 with Glossy Finish Utensil Set Stainless Steel Cook...
"KARSYN Impulse Plastic Pouch Hand Table Top Polythene Packet Heat Sealer Packing Sealing Machine (8 Inch, Multicolor)",home_appliances,3.6,29,899.0,"home_appliances:KARSYN Impulse Plastic Pouch Hand Table Top Polythene Packet Heat Sealer Packing Sealing Machine (8 Inch, Multicolor)"
ZunVolt Fruice Juicer Blender Grinder and Smoothie Maker 400W (Red - Black),home_appliances,3.1,16,999.0,home_appliances:ZunVolt Fruice Juicer Blender Grinder and Smoothie Maker 400W (Red - Black)
Pour Over Coffee Kettle Gooseneck Kettle for Coffee Tea with Thermometer Premium 3-Layer Stainless Steel Bottom Coffee Mak...,home_appliances,4.5,6,2177.0,home_appliances:Pour Over Coffee Kettle Gooseneck Kettle for Coffee Tea with Thermometer Premium 3-Layer Stainless Steel Bottom Coffee Mak...
Orient Electric Gratia Shine Aluminium 1200 MM Deco Fan (Silky Silver),home_appliances,4.0,796,2899.0,home_appliances:Orient Electric Gratia Shine Aluminium 1200 MM Deco Fan (Silky Silver)
"Whirlpool 184 L 4 Star Inverter Direct-Cool Single Door Refrigerator (205 WDE ROY 4S Inv WINE RADIANCE-Z, Wine Radiance, L...",home_appliances,5.0,1,15490.0,"home_appliances:Whirlpool 184 L 4 Star Inverter Direct-Cool Single Door Refrigerator (205 WDE ROY 4S Inv WINE RADIANCE-Z, Wine Radiance, L..."
"AQUALIQUID RO Inline Tube Tap Shut Off Ball Valve Quick Fitting Connection Aquarium, RO Water Filter(Flushing Valve : 2Pcs)",home_appliances,3.9,81,169.0,"home_appliances:AQUALIQUID RO Inline Tube Tap Shut Off Ball Valve Quick Fitting Connection Aquarium, RO Water Filter(Flushing Valve : 2Pcs)"
"IFB 6 Kg 5 Star Front Load Washing Machine 2X Power Steam (NEO DIVA VXS 6010, White, In-built Heater, 4 years Comprehensiv...",home_appliances,4.0,171,26690.0,"home_appliances:IFB 6 Kg 5 Star Front Load Washing Machine 2X Power Steam (NEO DIVA VXS 6010, White, In-built Heater, 4 years Comprehensiv..."
"STARQ Outlet Hose Pipe for W 3 /W4/W5/W6 (Hydraulic Hose Pipe, 15mtr)",home_appliances,3.8,57,1799.0,"home_appliances:STARQ Outlet Hose Pipe for W 3 /W4/W5/W6 (Hydraulic Hose Pipe, 15mtr)"
"Clearline Automatic Electric Dough Kneader With Non Stick Bowl, Black, 650 Watts",home_appliances,4.2,2192,4500.0,"home_appliances:Clearline Automatic Electric Dough Kneader With Non Stick Bowl, Black, 650 Watts"
"Spefez Diffuser For Home Fragrance,Cool Mist Humidifiers Humidifier For Room Essential Oil Diffuser Aroma Air Humidifier w...",home_appliances,3.4,52,499.0,"home_appliances:Spefez Diffuser For Home Fragrance,Cool Mist Humidifiers Humidifier For Room Essential Oil Diffuser Aroma Air Humidifier w..."
"BROGBUS Plastic Expandable Car Washing Plastic Hoses Pipe for car wash and Garden use (Green, Navy blue)",home_appliances,2.0,1,489.0,"home_appliances:BROGBUS Plastic Expandable Car Washing Plastic Hoses Pipe for car wash and Garden use (Green, Navy blue)"
"IONIX Brass inlet valve for Ro water purifier with Brass Nipple, Connects to 1/4 pipe, Complete Set, Silver",home_appliances,3.7,1055,195.0,"home_appliances:IONIX Brass inlet valve for Ro water purifier with Brass Nipple, Connects to 1/4 pipe, Complete Set, Silver"
Prestige Deluxe LS 750-Watt Mixer Grinder (White and Red),home_appliances,3.7,126,3449.05,home_appliances:Prestige Deluxe LS 750-Watt Mixer Grinder (White and Red)
"Lifelong Egg Boiler 360-Watt (Transparent and Silver Grey), Boil 7 eggs | Easy to clean| 3 Boiling Modes, Stainless Steel ...",home_appliances,4.2,294,898.0,"home_appliances:Lifelong Egg Boiler 360-Watt (Transparent and Silver Grey), Boil 7 eggs | Easy to clean| 3 Boiling Modes, Stainless Steel ..."
"Haier 345 L 3 Star Triple Inverter Frost Free Double Door Refrigerator Convertible (HEF-35TKS, Black Brushline)",home_appliances,3.9,96,32990.0,"home_appliances:Haier 345 L 3 Star Triple Inverter Frost Free Double Door Refrigerator Convertible (HEF-35TKS, Black Brushline)"
UR LITTLE SHOP Air Cooler Natural Grass_Cooling Pads_18 x 24 Inches_Set Of 3 Pack_With 3 Iron Meshes And 2 Air Cooler Perf...,home_appliances,1.0,2,549.0,home_appliances:UR LITTLE SHOP Air Cooler Natural Grass_Cooling Pads_18 x 24 Inches_Set Of 3 Pack_With 3 Iron Meshes And 2 Air Cooler Perf...
"Morphy Richards 60 RCSS 60 Litre Oven Toaster Griller (60 Litres OTG) with Illuminated Chamber & Stainless Steel, Convecti...",home_appliances,4.1,3534,14999.0,"home_appliances:Morphy Richards 60 RCSS 60 Litre Oven Toaster Griller (60 Litres OTG) with Illuminated Chamber & Stainless Steel, Convecti..."
REAL LIFE SOLUTION Faucet Water Tap Adapter Connector Set of 2 for Fully Automatic Washing Machine Inlet Hose -Color : Whi...,home_appliances,5.0,5,225.0,home_appliances:REAL LIFE SOLUTION Faucet Water Tap Adapter Connector Set of 2 for Fully Automatic Washing Machine Inlet Hose -Color : Whi...
"STAYALONE Travel Folding Electric Kettle, Fast Boiling, Beautiful Design Collapsible, Portable Electric Kettle, 600ml Boil...",home_appliances,5.0,1,559.0,"home_appliances:STAYALONE Travel Folding Electric Kettle, Fast Boiling, Beautiful Design Collapsible, Portable Electric Kettle, 600ml Boil..."
"Lovely Solar Fan® DC 12Volt 24Watt 12"" SanChi Pedestal Fan (2 Speed, Blue & White)",home_appliances,3.8,629,1499.0,"home_appliances:Lovely Solar Fan® DC 12Volt 24Watt 12"" SanChi Pedestal Fan (2 Speed, Blue & White)"
Seazone Cover for All Models Water Purifier ASTOR Type,home_appliances,3.3,19,229.0,home_appliances:Seazone Cover for All Models Water Purifier ASTOR Type
"Borosil Neo Waffle Maker, 1000 W, Silver",home_appliances,4.0,1313,2099.0,"home_appliances:Borosil Neo Waffle Maker, 1000 W, Silver"
"Godrej Eon Dishwasher | 8 Place Setting Counter-Top | Compact with an In-built heater (DWT EON MGNS 8C NF SKSL, Silky Silv...",home_appliances,3.9,118,19890.0,"home_appliances:Godrej Eon Dishwasher | 8 Place Setting Counter-Top | Compact with an In-built heater (DWT EON MGNS 8C NF SKSL, Silky Silv..."
"Epsilon 6 Layer Carbon Activated Chlorine Remover Taps, Tap Water Filter/Purifier for Drinking, Alkaline Water Saver Fauce...",home_appliances,3.2,15,225.0,"home_appliances:Epsilon 6 Layer Carbon Activated Chlorine Remover Taps, Tap Water Filter/Purifier for Drinking, Alkaline Water Saver Fauce..."
Singer Duo Pop 700-Watt 2 Slice Pop-up Bread Toaster (White),home_appliances,3.8,199,1349.0,home_appliances:Singer Duo Pop 700-Watt 2 Slice Pop-up Bread Toaster (White)
Geeky Portable Princess Rabbit Styled Rechargeable Handheld Fan (Pink),home_appliances,4.3,470,699.0,home_appliances:Geeky Portable Princess Rabbit Styled Rechargeable Handheld Fan (Pink)
"Luminous Optimus 1250 Pure Sine Wave 1100VA/12V Inverter for Home, Office & Shops",home_appliances,3.0,65,7790.0,"home_appliances:Luminous Optimus 1250 Pure Sine Wave 1100VA/12V Inverter for Home, Office & Shops"
"SITOLO Egg Boiler With Automatic Off & Single Layer Electric Omlet Maker For Boiling, Cooking and Frying the Eggs, Egg Pou...",home_appliances,4.3,6,349.0,"home_appliances:SITOLO Egg Boiler With Automatic Off & Single Layer Electric Omlet Maker For Boiling, Cooking and Frying the Eggs, Egg Pou..."
Care N Made® Solenoid Valve 24 VDC for Kent/AQUAGARD RO Water Purifier,home_appliances,4.0,1,240.0,home_appliances:Care N Made® Solenoid Valve 24 VDC for Kent/AQUAGARD RO Water Purifier
MESH MASTERS Heavy Duty Double Door_Single Door Fridge Stand/Washing Machine Stand/Dish Washer Stand_Maroon Color with Box...,home_appliances,3.3,17,399.0,home_appliances:MESH MASTERS Heavy Duty Double Door_Single Door Fridge Stand/Washing Machine Stand/Dish Washer Stand_Maroon Color with Box...
LONGWAY Starlite-1 1200 mm/48 inch High Speed Anti-dust Technology Decorative 5 Star Rated Ceiling Fan 400 RPM with 3 Year...,home_appliances,2.7,14,2699.0,home_appliances:LONGWAY Starlite-1 1200 mm/48 inch High Speed Anti-dust Technology Decorative 5 Star Rated Ceiling Fan 400 RPM with 3 Year...
HASTHIP 100 pcs/Lot New Non-Woven Fabrics Empty Tea Bag with String Heal Filter Paper,home_appliances,4.0,290,296.0,home_appliances:HASTHIP 100 pcs/Lot New Non-Woven Fabrics Empty Tea Bag with String Heal Filter Paper
KNL RO/NF Sediment and Activated Carbon Block (Pre Carbon) Filter/cartridges/Candle Set with pushfit Elbows Suitable for A...,home_appliances,4.0,210,650.0,home_appliances:KNL RO/NF Sediment and Activated Carbon Block (Pre Carbon) Filter/cartridges/Candle Set with pushfit Elbows Suitable for A...
MGS 3 Meter Washing Machine Water PVC Inlet Hose Pipe for Front & Top Load Fully Automatic,home_appliances,4.3,976,399.0,home_appliances:MGS 3 Meter Washing Machine Water PVC Inlet Hose Pipe for Front & Top Load Fully Automatic
Havells Instanio 1-Litre Instant Geyser (White/Blue),home_appliances,3.9,56,2999.0,home_appliances:Havells Instanio 1-Litre Instant Geyser (White/Blue)
"Bosch Vacuum Cleaner and Blower Gas 15 1100-Watt, Blue and Black",home_appliances,4.2,272,15800.0,"home_appliances:Bosch Vacuum Cleaner and Blower Gas 15 1100-Watt, Blue and Black"
"AGARO Regal & Regal Plus Filter and Multipurpose Brush, Dry Vacuuming",home_appliances,4.2,34,299.0,"home_appliances:AGARO Regal & Regal Plus Filter and Multipurpose Brush, Dry Vacuuming"
INALSA Sandwich Grill 750W Toast & Co| Adjustable Height Control With Floating Plates| Non Stick Coating | Automatic Tempe...,home_appliances,3.9,959,1784.0,home_appliances:INALSA Sandwich Grill 750W Toast & Co| Adjustable Height Control With Floating Plates| Non Stick Coating | Automatic Tempe...
"Kuber Industries Fridge Appliance Set|Flower Design & PVC Material|3 Pieces Fridge Mats|1 Piece Fridge Top Cover, Set of 1...",home_appliances,3.9,599,228.69,"home_appliances:Kuber Industries Fridge Appliance Set|Flower Design & PVC Material|3 Pieces Fridge Mats|1 Piece Fridge Top Cover, Set of 1..."
AUSHA® Portable Gament Iron Steamer for Clothes Dry And We Mini Handheld Press for Outing & Home,home_appliances,1.0,1,899.0,home_appliances:AUSHA® Portable Gament Iron Steamer for Clothes Dry And We Mini Handheld Press for Outing & Home
"REVAXO Waterproof & Dustproof Washing Machine Cover Top Load & Fully Automatic Suitable for 6 kg, 6.2 kg, 6.5 kg ,3",home_appliances,1.0,1,230.0,"home_appliances:REVAXO Waterproof & Dustproof Washing Machine Cover Top Load & Fully Automatic Suitable for 6 kg, 6.2 kg, 6.5 kg ,3"
Khaitan Freedom Hi-Speed Economy Ceiling Fan-Brown,home_appliances,5.0,5,1480.0,home_appliances:Khaitan Freedom Hi-Speed Economy Ceiling Fan-Brown
Republic Day Independence Day 15 August 26 January Indian Printed t Shirt for Boys Kids,apparel_kids,1.0,1,375.0,apparel_kids:Republic Day Independence Day 15 August 26 January Indian Printed t Shirt for Boys Kids
SYGA 3 Pcs Children Girl Baby Elastic Hairband Princess Wind Bow Flower Headband Suit Baby Headdress Photo Hair Accessorie...,apparel_kids,4.5,7,299.0,apparel_kids:SYGA 3 Pcs Children Girl Baby Elastic Hairband Princess Wind Bow Flower Headband Suit Baby Headdress Photo Hair Accessorie...
Fusefit girls Track Pants,apparel_kids,5.0,2,359.0,apparel_kids:Fusefit girls Track Pants
BENKILS Girls Casual Dress,apparel_kids,3.8,1058,629.0,apparel_kids:BENKILS Girls Casual Dress
SYGA Children's Sunglasses Funny Round Frame Knockwell Sunglasses Anti-UV Lens Eyewear Snail-Shaped Kids Goggles,apparel_kids,1.5,2,199.0,apparel_kids:SYGA Children's Sunglasses Funny Round Frame Knockwell Sunglasses Anti-UV Lens Eyewear Snail-Shaped Kids Goggles
"FARETO Unisex Just Born Baby Clothing Set/6 Front Open Shirts/6 Single Layer Nappies/6 Caps, 0-3 Months (Multicolour)(L-10...",apparel_kids,3.9,73,630.0,"apparel_kids:FARETO Unisex Just Born Baby Clothing Set/6 Front Open Shirts/6 Single Layer Nappies/6 Caps, 0-3 Months (Multicolour)(L-10..."
Wish Karo Baby Girl's A-Line Knee Length Frock,apparel_kids,4.3,11,399.0,apparel_kids:Wish Karo Baby Girl's A-Line Knee Length Frock
ZOOTEE Fashion Unisex Kids Boys and Girls Plain Round Neck Full Sleeve Red Color Cotton Tshirts,apparel_kids,4.0,1,275.0,apparel_kids:ZOOTEE Fashion Unisex Kids Boys and Girls Plain Round Neck Full Sleeve Red Color Cotton Tshirts
WearIndia Boys' T-Shirt,apparel_kids,3.5,57,399.0,apparel_kids:WearIndia Boys' T-Shirt
Toxi Captain America Printed Round Neck and Half Sleeve White | Dri Fit | Tshirt for Women | Men | Kids | Girls | Boys,apparel_kids,1.0,1,199.0,apparel_kids:Toxi Captain America Printed Round Neck and Half Sleeve White | Dri Fit | Tshirt for Women | Men | Kids | Girls | Boys
Visions India Optimax Anti Glare Blue Cut Magnetic Reading Glasses with Neck Band For Men Women (Black +2.75),apparel_kids,4.0,3,549.0,apparel_kids:Visions India Optimax Anti Glare Blue Cut Magnetic Reading Glasses with Neck Band For Men Women (Black +2.75)
GOODWAY Boys Pack of 5 Theme Did You knowTheme Printed T-Shirts(JB5PCKDYK-1_Multicolor),apparel_kids,4.2,1282,799.0,apparel_kids:GOODWAY Boys Pack of 5 Theme Did You knowTheme Printed T-Shirts(JB5PCKDYK-1_Multicolor)
Hopscotch Girls Viscose All-Over Print Top and Pajama Set in Pink Color,apparel_kids,3.8,49,491.0,apparel_kids:Hopscotch Girls Viscose All-Over Print Top and Pajama Set in Pink Color
"little PANDA Born Baby Boys Girls Soft Cotton Cap, Mittens & Booties Set (0-6 Months) Combo Pack",apparel_kids,5.0,2,749.0,"apparel_kids:little PANDA Born Baby Boys Girls Soft Cotton Cap, Mittens & Booties Set (0-6 Months) Combo Pack"
reinstones hijab pin set of 10 pcs/scarf pin,apparel_kids,5.0,1,400.0,apparel_kids:reinstones hijab pin set of 10 pcs/scarf pin
Red Tape Boys T-Shirt,apparel_kids,5.0,2,482.0,apparel_kids:Red Tape Boys T-Shirt
Fashion Dream Girls Jumpsuit Set,apparel_kids,3.1,55,559.0,apparel_kids:Fashion Dream Girls Jumpsuit Set
Wish Karo Baby Girls Top and Skirt For Girls-(csl295),apparel_kids,3.5,3,449.0,apparel_kids:Wish Karo Baby Girls Top and Skirt For Girls-(csl295)
little PANDA Baby Girls Skater Knee Length Net Dress,apparel_kids,3.6,4,404.0,apparel_kids:little PANDA Baby Girls Skater Knee Length Net Dress
Supersox Girl's Ankle Length Cotton Socks (Pack of 3),apparel_kids,4.1,388,329.0,apparel_kids:Supersox Girl's Ankle Length Cotton Socks (Pack of 3)
Amazon Brand - Jam & Honey Boys T-Shirt,apparel_kids,5.0,1,447.0,apparel_kids:Amazon Brand - Jam & Honey Boys T-Shirt
BabyNeeds Soft Cotton Ear Flap Caps with Tie Knot for Baby (3-6 Months),apparel_kids,3.5,13,549.0,apparel_kids:BabyNeeds Soft Cotton Ear Flap Caps with Tie Knot for Baby (3-6 Months)
BABY GO 100% Pure Cotton Dungarees for Baby Girls,apparel_kids,4.2,180,419.0,apparel_kids:BABY GO 100% Pure Cotton Dungarees for Baby Girls
SINI MINI Girl's Capri Shorts (Pack of 4),apparel_kids,4.0,764,899.0,apparel_kids:SINI MINI Girl's Capri Shorts (Pack of 4)
Bonjour D. Grey Kids Woolen Argyle Socks- Pack of 2,apparel_kids,4.3,19,221.0,apparel_kids:Bonjour D. Grey Kids Woolen Argyle Socks- Pack of 2
Kars Girl Baby Knitted Combo Dress for 6 Month - 4 Years(Pack of 2),apparel_kids,3.9,4,390.0,apparel_kids:Kars Girl Baby Knitted Combo Dress for 6 Month - 4 Years(Pack of 2)
BabyMoon Kids Big Ears Fruits Summer Cap Hat,apparel_kids,5.0,1,345.0,apparel_kids:BabyMoon Kids Big Ears Fruits Summer Cap Hat
NammaBaby Girls Cotton Round Neck Sweatshirt,apparel_kids,3.6,554,649.0,apparel_kids:NammaBaby Girls Cotton Round Neck Sweatshirt
MYYNTI 6 Pairs Baby Kids Cotton Cartoon Pattern Design Socks Breathable No-show Low Cut Free Size Multicolor,apparel_kids,5.0,1,264.0,apparel_kids:MYYNTI 6 Pairs Baby Kids Cotton Cartoon Pattern Design Socks Breathable No-show Low Cut Free Size Multicolor
little PANDA Girl's A-Line Knee Length Dress,apparel_kids,4.2,513,449.0,apparel_kids:little PANDA Girl's A-Line Knee Length Dress
Max Girls Heart Printed T-Shirt,apparel_kids,5.0,1,159.0,apparel_kids:Max Girls Heart Printed T-Shirt
BabyMoon Kids Big Ears Fruits Summer Cap Hat,apparel_kids,5.0,1,345.0,apparel_kids:BabyMoon Kids Big Ears Fruits Summer Cap Hat
Gubbarey Girl's Silk Lehenga Choli (LC3024_Red_8-9 Y),apparel_kids,3.1,30,689.0,apparel_kids:Gubbarey Girl's Silk Lehenga Choli (LC3024_Red_8-9 Y)
Fashion Dream Baby Girl’s White Cotton Lycra Top with Short Pant,apparel_kids,5.0,1,479.0,apparel_kids:Fashion Dream Baby Girl’s White Cotton Lycra Top with Short Pant
MINITATU baby-girls Clothing Set,apparel_kids,4.2,92,499.0,apparel_kids:MINITATU baby-girls Clothing Set
Hopscotch Girls Cotton Animal Print Sweatshirt and Leggings Set in Pink Color,apparel_kids,3.9,25,550.0,apparel_kids:Hopscotch Girls Cotton Animal Print Sweatshirt and Leggings Set in Pink Color
Vesham Boys Solid Kurta and Pajama Set,apparel_kids,3.2,10,499.0,apparel_kids:Vesham Boys Solid Kurta and Pajama Set
WALLABY KIDS Boys & Girls Cute Dino Playing Electric Guitar Dinosaur Theme 100% Cotton Unisex Kids T-Shirt,apparel_kids,5.0,1,699.0,apparel_kids:WALLABY KIDS Boys & Girls Cute Dino Playing Electric Guitar Dinosaur Theme 100% Cotton Unisex Kids T-Shirt
"Basic Super Soft Briefs | Unisex, 100% Pure Cotton Innerwear | Breathable & Super Soft Underwear | Newborn Panty, Baby Bri...",apparel_kids,3.5,125,429.0,"apparel_kids:Basic Super Soft Briefs | Unisex, 100% Pure Cotton Innerwear | Breathable & Super Soft Underwear | Newborn Panty, Baby Bri..."
U.S. POLO ASSN. Boys Shirt,apparel_kids,4.2,92,451.0,apparel_kids:U.S. POLO ASSN. Boys Shirt
Nino Bambino 100% Organic Cotton Green Polka Dot Sleeveless Round Neck Button Closure Dress and Short Set for Baby Girls,apparel_kids,5.0,1,629.7,apparel_kids:Nino Bambino 100% Organic Cotton Green Polka Dot Sleeveless Round Neck Button Closure Dress and Short Set for Baby Girls
Naughty Ninos Girl's Regular Dress,apparel_kids,4.0,670,799.0,apparel_kids:Naughty Ninos Girl's Regular Dress
superbottoms Top & Shorts Set | Evrydaywear| Comfort Wear | Lounge Wear | Top and Shorts set for Kids | Kids Combo Dress |...,apparel_kids,5.0,2,229.0,apparel_kids:superbottoms Top & Shorts Set | Evrydaywear| Comfort Wear | Lounge Wear | Top and Shorts set for Kids | Kids Combo Dress |...
"Superminis Cotton Pyjama/Legging Bottom/Lowers - Heart Print, Regular Fit Pants for Boys, Girls, Toddlers, Kids",apparel_kids,4.1,380,599.0,"apparel_kids:Superminis Cotton Pyjama/Legging Bottom/Lowers - Heart Print, Regular Fit Pants for Boys, Girls, Toddlers, Kids"
Max Boys Printed Crew Neck T-Shirt,apparel_kids,3.8,11,259.0,apparel_kids:Max Boys Printed Crew Neck T-Shirt
Cherry Crumble Kids Unisex Corduroy Square Neck Solid Dungaree (7L-DUNG-1548),apparel_kids,3.9,10,1351.0,apparel_kids:Cherry Crumble Kids Unisex Corduroy Square Neck Solid Dungaree (7L-DUNG-1548)
LIL GLORY Brand N!NJ@ Travelling Warmer for Younger Boys in 3 Shades,apparel_kids,5.0,4,629.0,apparel_kids:LIL GLORY Brand N!NJ@ Travelling Warmer for Younger Boys in 3 Shades
ayushicreationa Boy's & Girl's Ankle Length Organic Cotton Socks for 4-8 Years Kids Children’s Colorful Creative Multi-Des...,apparel_kids,3.7,16,249.0,apparel_kids:ayushicreationa Boy's & Girl's Ankle Length Organic Cotton Socks for 4-8 Years Kids Children’s Colorful Creative Multi-Des...
Sathiyas Baby Girls Top & Bottom Sets -Pack of 5,apparel_kids,4.3,830,749.0,apparel_kids:Sathiyas Baby Girls Top & Bottom Sets -Pack of 5
ANGAAKAR CLOTHINGS Newborn Baby Boys & Girls Loose Fit Cotton Pajama For Kids Track Pants For Infants Rib Leggings Toddler...,apparel_kids,4.5,2,690.0,apparel_kids:ANGAAKAR CLOTHINGS Newborn Baby Boys & Girls Loose Fit Cotton Pajama For Kids Track Pants For Infants Rib Leggings Toddler...
Lavie Sport Chairman Laptop Bag | Premium Leatherette Business Backpack for Men & Women | Durable Office Bag for Notebook/...,electronics_audio_video,4.0,713,899.0,electronics_audio_video:Lavie Sport Chairman Laptop Bag | Premium Leatherette Business Backpack for Men & Women | Durable Office Bag for Notebook/...
"SanDisk Ultra® microSDXC™ UHS-I Card, 64GB, 140MB/s R, 10 Y Warranty, for Smartphones",electronics_audio_video,4.4,71768,488.0,"electronics_audio_video:SanDisk Ultra® microSDXC™ UHS-I Card, 64GB, 140MB/s R, 10 Y Warranty, for Smartphones"
"Sounce Adjustable Air Vent Mobile Phone Holder for Car with 360° Rotational, Quick Release Button, Compatible with All Sma...",electronics_audio_video,3.8,267,299.0,"electronics_audio_video:Sounce Adjustable Air Vent Mobile Phone Holder for Car with 360° Rotational, Quick Release Button, Compatible with All Sma..."
TheGiftKart Back Cover Soft Case for Samsung Galaxy A14 5G | Best Camera Protection | Inbuilt Dust Plugs & Anti-Slip Grip...,electronics_audio_video,5.0,3,269.0,electronics_audio_video:TheGiftKart Back Cover Soft Case for Samsung Galaxy A14 5G | Best Camera Protection | Inbuilt Dust Plugs & Anti-Slip Grip...
Oraimo 18W USB & Type-C Dual Output Super Fast Charger Wall Adapter PE2.0&Quick Charge 3.0 & Power Delivery 3.0 Fast Charg...,electronics_audio_video,4.0,15095,599.0,electronics_audio_video:Oraimo 18W USB & Type-C Dual Output Super Fast Charger Wall Adapter PE2.0&Quick Charge 3.0 & Power Delivery 3.0 Fast Charg...
"SIDRUM D2 DSLR/SLR Camera Shoulder Bag Case with Adjustable Shoulder Strap, Compatible for Nikon, Canon, Sony Mirrorless C...",electronics_audio_video,4.3,179,664.0,"electronics_audio_video:SIDRUM D2 DSLR/SLR Camera Shoulder Bag Case with Adjustable Shoulder Strap, Compatible for Nikon, Canon, Sony Mirrorless C..."
Canon CL-57 Ink Cartridge (Color),electronics_audio_video,4.2,9454,1197.0,electronics_audio_video:Canon CL-57 Ink Cartridge (Color)
OpenTech® Tempered Glass Screen Protector Compatible for Fossil Gen 6 (Pack of 2) with Easy Installation kit,electronics_audio_video,4.3,116,299.0,electronics_audio_video:OpenTech® Tempered Glass Screen Protector Compatible for Fossil Gen 6 (Pack of 2) with Easy Installation kit
Dell 40Whr 14.8V 4 Cell Battery for M5Y1K 453-BBBR HD4J0 GR437 W6D4J 451-BBUD,electronics_audio_video,4.0,409,2199.0,electronics_audio_video:Dell 40Whr 14.8V 4 Cell Battery for M5Y1K 453-BBBR HD4J0 GR437 W6D4J 451-BBUD
"Fast Charger Compatible for Vivo V9, Y21L,V7, Y6,V11 Pro, V17,V17 Pro,Y17,U10,Vivo V 5 Plus, V5S, Y31 / Y51 / Y53 / Y55 vi...",electronics_audio_video,5.0,2,349.0,"electronics_audio_video:Fast Charger Compatible for Vivo V9, Y21L,V7, Y6,V11 Pro, V17,V17 Pro,Y17,U10,Vivo V 5 Plus, V5S, Y31 / Y51 / Y53 / Y55 vi..."
"Inefable® Earphone Headphone Case Pouch Cover Carrying Case for Earphones , Headset , Pen Drives , SD Cards , All Mobile A...",electronics_audio_video,4.1,196,99.0,"electronics_audio_video:Inefable® Earphone Headphone Case Pouch Cover Carrying Case for Earphones , Headset , Pen Drives , SD Cards , All Mobile A..."
