name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Pack of 2 TP4056 Micro USB Lithium Battery Charging Converter with Overcharge Discharge Over-Current Protection Charging B...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71xQuBQhwLL._AC_UL320_.jpg,https://www.amazon.in/Converter-Overcharge-Discharge-Over-Current-Protection/dp/B08VW3XHL5/ref=sr_1_3493?qid=1679133871&s=electronics&sr=1-3493,4.1,99,₹95,₹200
2022 New Cleaner Kit for Keyboard Soft Brush 5 in 1 Multifunction Computer Cleaning Tools Kit with Keycap Puller (Red),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/41kJdeqFlVL._AC_UL320_.jpg,https://www.amazon.in/Cleaner-Keyboard-Multifunction-Computer-Cleaning/dp/B0BM4VZ7Z6/ref=sr_1_7391?qid=1679134108&s=electronics&sr=1-7391,3.9,37,₹95,₹999
"ESR Clear Case Compatible with iPhone 13 Case, Shockproof Thin Silicone Cover, Yellowing-Resistant Slim Transparent TPU Ph...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71RDNsvckTL._AC_UL320_.jpg,https://www.amazon.in/ESR-Compatible-iPhone-Yellowing-Resistant-Transparent/dp/B0BHQ8BDCB/ref=sr_1_9519?qid=1679134232&s=electronics&sr=1-9519,4.4,112,₹474,₹899
"boAt Stone 170 5W Bluetooth Speaker with Upto 6 Hours Playback, TWS Feature, IPX6, Multifunction Buttons and SD Card Slot(...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/615J4XjwC5S._AC_UL320_.jpg,https://www.amazon.in/boAt-Stone-170-Bluetooth-Multifunction/dp/B0974KW28X/ref=sr_1_2914?qid=1679133836&s=electronics&sr=1-2914,4.3,"40,189","₹1,299","₹2,990"
"DIZO Buds P with Fast Charge, 40HPlaytime & 13mm Driver (by realme TechLife) Bluetooth Headset  (Dynamo Black, True Wireless)","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61Stn8vE0jL._AC_UL320_.jpg,https://www.amazon.in/DIZO-40HPlaytime-TechLife-Bluetooth-Headset/dp/B0BR5HHBP7/ref=sr_1_4413?qid=1679133928&s=electronics&sr=1-4413,1.5,2,"₹1,299","₹3,499"
Zitel® Charger Compatible with Samsung Galaxy Watch 4 / Watch 4 Classic - Replacement USB Charging Cable 100cm - Black,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51TepoHIINL._AC_UL320_.jpg,https://www.amazon.in/Zitel%C2%AE-Charger-Compatible-Samsung-Classic/dp/B09C54BCDL/ref=sr_1_7249?qid=1679134099&s=electronics&sr=1-7249,3.8,564,₹799,"₹2,999"
iTronix Replacement USB Charging Cable for Noise ColorFit Pro 4 / Pro 4 Max / Pro 3 / ColorFit Pulse / Pulse Grand / Pulse...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61bl-xXVMbL._AC_UL320_.jpg,https://www.amazon.in/iTronix-Replacement-ColorFit-NoiseFit-Smartwatches/dp/B09HN6QB25/ref=sr_1_1116?qid=1679133718&s=electronics&sr=1-1116,4.2,519,₹259,₹599
"OUXUS New Version-Car Phone Holder Mount, Rearview Mirror Phone Holder for Car, 360°Rotatable and Retractable Car Phone Ho...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51CTjP+B0hL._AC_UL320_.jpg,https://www.amazon.in/Version-Car-Rearview-360%C2%B0Rotatable-Retractable-Multifunctional/dp/B0BVJ4WN35/ref=sr_1_9009?qid=1679134203&s=electronics&sr=1-9009,1.0,2,₹179,₹699
Paperkraft Beethoven- Blue Ceramic Roller Ball Pen (Pack of 1) | Classy Chrome & Gold tone finish|Premium Gifting Product...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/31FkqQUM4QL._AC_UL320_.jpg,https://www.amazon.in/Paperkraft-Beethoven-Ceramic-Roller-Ball/dp/B084S6GRVL/ref=sr_1_3324?qid=1679133861&s=electronics&sr=1-3324,4.0,"1,701",₹212,₹250
Spigen Thin Fit Back Cover Case for Samsung Galaxy S23 Ultra (Poly Carbonate + TPU | Black),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61r3zu+NLhL._AC_UL320_.jpg,https://www.amazon.in/Spigen-Cover-Samsung-Galaxy-Carbonate/dp/B0BJS9D29K/ref=sr_1_7904?qid=1679134139&s=electronics&sr=1-7904,4.4,177,"₹2,299","₹2,799"
ERH India Dc to Ac Dual USB Converter 12v to 220v AC Dual USB Converter Inverter Dc to Ac Dual USB Converter 12v Mini Car ...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41+lkUSkAcL._AC_UL320_.jpg,https://www.amazon.in/India-Converter-200-Watt-Applications/dp/B0B9ML6V3C/ref=sr_1_8413_mod_primary_new?qid=1679134170&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-8413,3.3,9,₹469,₹698
TheGiftKart Shockproof Crystal Clear Back Cover Case for Samsung Galaxy A31 | 360 Degree Protection | Protective Design | ...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51aiXDMfR1L._AC_UL320_.jpg,https://www.amazon.in/TheGiftKart-Shockproof-Protection-Protective-Transparent/dp/B09XHR34FV/ref=sr_1_7731?qid=1679134128&s=electronics&sr=1-7731,4.2,140,₹269,₹999
"SanDisk 500GB Extreme Portable SSD 1050MB/s R, 1000MB/s W,Upto 2 Meter Drop Protection with IP55 Water/dust Resistance, HW...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71cxm1e19BL._AC_UL320_.jpg,https://www.amazon.in/SanDisk-Portable-Smartphone-Compatible-Warranty/dp/B08GTXVG9P/ref=sr_1_5803?qid=1679134015&s=electronics&sr=1-5803,4.4,"45,569","₹7,299","₹19,500"
TheGiftKart Shockproof Crystal Clear Back Cover Case for Vivo V27 / V27 PRO 5G | 360 Degree Protection | Protective Design...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/511AijkIm0L._AC_UL320_.jpg,https://www.amazon.in/TheGiftKart-Shockproof-Protection-Protective-Transparent/dp/B0BX6MQYPF/ref=sr_1_3799?qid=1679133892&s=electronics&sr=1-3799,5.0,1,₹199,₹999
"Boult Audio Truebuds Truly Wireless in Ear Earbuds with 32H Battery Life, Type-C Fast Charging, IPX7 Waterproof, Made in I...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61-Prg2LtCL._AC_UL320_.jpg,https://www.amazon.in/Boult-Audio-TrueBuds-Wireless-Waterproof/dp/B08CFCD3CW/ref=sr_1_2474?qid=1679133807&s=electronics&sr=1-2474,3.6,"40,367","₹1,199","₹7,999"
