name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
TiedRibbons® Cycle Shape Flower Vase with Peonies Bunches,home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/91jKRVXmaML._AC_UL320_.jpg,https://www.amazon.in/TIED-RIBBONS-Plastic-Peonies-Bunches/dp/B01DNRFV4G/ref=sr_1_1472?qid=1679214476&s=kitchen&sr=1-1472,4.1,"5,121",₹494,"₹1,099"
"Pidilite T16 Roff Cera Clean Professional Tile, Floor and Ceramic Cleaner, Multisurface Floor and Tile Cleaner, Removes St...",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/51MwqAPfAjL._AC_UL320_.jpg,https://www.amazon.in/Roff-Cleaner-Rounder-Scrub-500ml/dp/B01EWID8V8/ref=sr_1_1031?qid=1679214467&s=kitchen&sr=1-1031,3.9,"2,834",₹139,₹140
CENTRA'L'IT Crystal Votives Bowl Candle Holders Tealight Candle Centerpieces for Wedding Home Party Table Decoration (Gold...,home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/714DYkz5sQL._AC_UL320_.jpg,https://www.amazon.in/CENTRALIT-Crystal-Holders-Decorative-Tealight/dp/B0983TKJ8B/ref=sr_1_9127?qid=1679214617&s=kitchen&sr=1-9127,4.6,16,₹299,₹999
"Kuber Industries 12 Piece Non Woven Travel Shoe Cover, String Bag Organizer, Black - CTLTC039515",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/81fvifWSeML._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Travel-String-Organizer/dp/B08499X1DW/ref=sr_1_5300?qid=1679214545&s=kitchen&sr=1-5300,4.5,324,₹281.20,₹299
"SUJATA Powermatic Plus, Juicer Mixer Grinder, 900 Watts, 2 Jars (White)",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41pb+fODkVL._AC_UL320_.jpg,https://www.amazon.in/Powermatic-Plus-CH-900-Watt-Grinder/dp/B07D8VBYB4/ref=sr_1_1738?qid=1679214481&s=kitchen&sr=1-1738,4.4,"2,849","₹5,925","₹8,163"
"PrettyKrafts F1246 Canvas Laundry Bag, Toy Storage, Laundry Storage (45 L) (Set of 2 Pieces)- Black Wave",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/71aJQL5VhwL._AC_UL320_.jpg,https://www.amazon.in/PrettyKrafts-Canvas-Laundry-Storage-Black/dp/B083RC4WFJ/ref=sr_1_2423?qid=1679214495&s=kitchen&sr=1-2423,4.1,"13,231",₹320,₹799
Finish Dishwasher Salt - 2Kg | Softens hard water | Recommended by Most Dishwasher Brands,home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/61jCdhqPUaL._AC_UL320_.jpg,https://www.amazon.in/Finish-Power-Action-Dishwasher-Salt/dp/B00HJ2FPYS/ref=sr_1_68?qid=1679214445&s=kitchen&sr=1-68,4.5,"10,085",₹349,₹385
KENT Ultra Storage UV Water Purifier (11042) | UV+UF Water Purification | Wall Mountable | 8L Storage | 60 L/hr Output | W...,home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71Bnmz7QxtL._AC_UL320_.jpg,https://www.amazon.in/KENT-Ultra-Storage-Water-Purifier/dp/B01HXUJB2W/ref=sr_1_4375_mod_primary_new?qid=1679214529&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-4375,4.0,"3,371","₹7,989","₹10,000"
"HYLOL Portable and Reusable Insulated Nylon Lunch Bags Women Work, Student Kids, Thermal Cooler Bag Picnic Organizer Stora...",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/81gy5YbXiHL._AC_UL320_.jpg,https://www.amazon.in/HYLOL-Portable-Insulated-Bags-Organizer/dp/B0BDZZB1Y8/ref=sr_1_9588?qid=1679214627&s=kitchen&sr=1-9588,3.8,295,₹249,₹699
"Speedex Stainless Steel Water Bottle 500 ML Water Bottles For Kids, School,Gym,Home,office,Boys, Girls Leak Proof(Sipper C...",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/318bLS9vw9L._AC_UL320_.jpg,https://www.amazon.in/Speedex-Stainless-Bottle-Bottles-DARK-BLUE/dp/B0BNF5PZGW/ref=sr_1_7107?qid=1679214581&s=kitchen&sr=1-7107,4.0,18,₹369,₹549
"Cello Checkers Plastic PET Canister Set, 18 Pieces, Clear",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71ZmmLW97YL._AC_UL320_.jpg,https://www.amazon.in/Cello-Checkers-Plastic-Canister-Pieces/dp/B01LYBZX6Y/ref=sr_1_199?qid=1679214448&s=kitchen&sr=1-199,4.4,"67,514",₹569,"₹1,090"
"Smart Saver Reusable Vacuum Storage Bags Ziplock Space for Travel with hand pump, Plastic bags clothes blanket cover bag t...",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61ANGGi7N6L._AC_UL320_.jpg,https://www.amazon.in/Smart-Saver-Vacuum-Storage-Bags/dp/B07D1B7Y3W/ref=sr_1_4377?qid=1679214529&s=kitchen&sr=1-4377,4.2,805,"₹1,349","₹1,699"
"Global Mall Flexible Silicone Shape Honeycomb 37 Cavity Ice Cube Mould Tray for Freezer, Chocolate Cake Maker, Ice Trays f...",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31ntdJ8TGKL._AC_UL320_.jpg,https://www.amazon.in/Global-Mall-Flexible-Honeycomb-Chocolate/dp/B0BM9BJVRY/ref=sr_1_4003?qid=1679214520&s=kitchen&sr=1-4003,3.7,6,₹99,₹499
