name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"IFB 6 Kg 5 Star Front Load Washing Machine 2X Power Steam (NEO DIVA VXS 6010, White, In-built Heater, 4 years Comprehensiv...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Yhhqusg1L._AC_UL320_.jpg,https://www.amazon.in/IFB-Fully-Automatic-Loading-Warranty-Technology/dp/B09R71GTZZ/ref=sr_1_7122?qid=1679135994&s=appliances&sr=1-7122,4.0,171,"₹26,690","₹30,390"
"STARQ Outlet Hose Pipe for W 3 /W4/W5/W6 (Hydraulic Hose Pipe, 15mtr)",appliances,All Appliances,https://m.media-amazon.com/images/I/81qqQYGieOL._AC_UL320_.jpg,https://www.amazon.in/STARQ-Outlet-Hose-Hydraulic-15mtr/dp/B08H5P9WQJ/ref=sr_1_5575?qid=1679135908&s=appliances&sr=1-5575,3.8,57,"₹1,799","₹2,999"
"Clearline Automatic Electric Dough Kneader With Non Stick Bowl, Black, 650 Watts",appliances,All Appliances,https://m.media-amazon.com/images/I/31pBfOngn4L._AC_UL320_.jpg,https://www.amazon.in/Clearline-Automatic-Electric-Dough-Kneader/dp/B06WP5DRBX/ref=sr_1_1303?qid=1679135665&s=appliances&sr=1-1303,4.2,"2,192","₹4,500","₹6,645"
"Spefez Diffuser For Home Fragrance,Cool Mist Humidifiers Humidifier For Room Essential Oil Diffuser Aroma Air Humidifier w...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41vIrAiAG+L._AC_UL320_.jpg,https://www.amazon.in/Spefez-Fragrance-Humidifiers-Humidifier-Essential/dp/B0BC1TH4G9/ref=sr_1_2145?qid=1679135716&s=appliances&sr=1-2145,3.4,52,₹499,₹999
"BROGBUS Plastic Expandable Car Washing Plastic Hoses Pipe for car wash and Garden use (Green, Navy blue)",appliances,All Appliances,https://m.media-amazon.com/images/I/41B7mXgGI2L._AC_UL320_.jpg,https://www.amazon.in/BROGBUS-Plastic-Expandable-Washing-Garden/dp/B0BG2VS33T/ref=sr_1_7154?qid=1679135996&s=appliances&sr=1-7154,2.0,1,₹489,₹598
"IONIX Brass inlet valve for Ro water purifier with Brass Nipple, Connects to 1/4 pipe, Complete Set, Silver",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71mGi7ZNSCL._AC_UL320_.jpg,https://www.amazon.in/PK-Aqua-Filter-Multicolour-4-inches/dp/B01MV318VM/ref=sr_1_7433?qid=1679136011&s=appliances&sr=1-7433,3.7,"1,055",₹195,₹399
Prestige Deluxe LS 750-Watt Mixer Grinder (White and Red),appliances,All Appliances,https://m.media-amazon.com/images/I/51FfdFq5YyL._AC_UL320_.jpg,https://www.amazon.in/Prestige-Deluxe-LS-750-Watt-Grinder/dp/B00935M9DE/ref=sr_1_7930?qid=1679136039&s=appliances&sr=1-7930,3.7,126,"₹3,449.05","₹4,340"
"Lifelong Egg Boiler 360-Watt (Transparent and Silver Grey), Boil 7 eggs | Easy to clean| 3 Boiling Modes, Stainless Steel ...",appliances,All Appliances,https://m.media-amazon.com/images/I/61fiaM-RRCL._AC_UL320_.jpg,https://www.amazon.in/Lifelong-360-Watt-Transparent-Stainless-Automatic/dp/B09VK244N7/ref=sr_1_2228?qid=1679135720&s=appliances&sr=1-2228,4.2,294,₹898,"₹3,500"
"Haier 345 L 3 Star Triple Inverter Frost Free Double Door Refrigerator Convertible (HEF-35TKS, Black Brushline)",appliances,All Appliances,https://m.media-amazon.com/images/I/41KOqlQ51pL._AC_UL320_.jpg,https://www.amazon.in/Haier-Refrigerator-Convertible-HEF-35TKS-Brushline/dp/B091TZLL6D/ref=sr_1_7790?qid=1679136031&s=appliances&sr=1-7790,3.9,96,"₹32,990","₹52,400"
UR LITTLE SHOP Air Cooler Natural Grass_Cooling Pads_18 x 24 Inches_Set Of 3 Pack_With 3 Iron Meshes And 2 Air Cooler Perf...,appliances,All Appliances,https://m.media-amazon.com/images/I/91CPZJeK6-L._AC_UL320_.jpg,https://www.amazon.in/UR-LITTLE-SHOP-Grass_Cooling-Perfumes_Suitable/dp/B08VHBBY1V/ref=sr_1_7201?qid=1679135999&s=appliances&sr=1-7201,1.0,2,₹549,"₹1,099"
"Morphy Richards 60 RCSS 60 Litre Oven Toaster Griller (60 Litres OTG) with Illuminated Chamber & Stainless Steel, Convecti...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51CcFKh-G1L._AC_UL320_.jpg,https://www.amazon.in/Morphy-Richards-60-RCSS-60-Litre/dp/B00EQ2RV4G/ref=sr_1_3720?qid=1679135804&s=appliances&sr=1-3720,4.1,"3,534","₹14,999","₹30,995"
REAL LIFE SOLUTION Faucet Water Tap Adapter Connector Set of 2 for Fully Automatic Washing Machine Inlet Hose -Color : Whi...,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71bDH5+LGEL._AC_UL320_.jpg,https://www.amazon.in/REAL-LIFE-SOLUTION-Connector-Automatic/dp/B08L4G5ZKW/ref=sr_1_9471?qid=1679136120&s=appliances&sr=1-9471,5.0,5,₹225,₹800
"STAYALONE Travel Folding Electric Kettle, Fast Boiling, Beautiful Design Collapsible, Portable Electric Kettle, 600ml Boil...",appliances,All Appliances,https://m.media-amazon.com/images/I/515DeRX2oqL._AC_UL320_.jpg,https://www.amazon.in/STAYALONE-Electric-Beautiful-Collapsible-Protection/dp/B0BWDXG9W1/ref=sr_1_2455?qid=1679135733&s=appliances&sr=1-2455,5.0,1,₹559,"₹1,399"
