name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,category
Floxum V-Neck Button Cardigan Babylock Full Sleeves Ribbed Top,women's clothing,Clothing,https://m.media-amazon.com/images/I/41pPDgeZZtL._AC_UL320_.jpg,https://www.amazon.in/Floxum-V-Neck-Cardigan-Babylock-Sleeves/dp/B0B59BW52N/ref=sr_1_18369?qid=1679153405&s=apparel&sr=1-18369,3.3,3,₹479,"₹1,299",clothing
Amante Every de Carefree Confidence T-Shirt Bra,women's clothing,Clothing,https://m.media-amazon.com/images/I/81DhLDi-KXL._AC_UL320_.jpg,https://www.amazon.in/every-amante-Womens-Padded-EB010_Azalea_32D/dp/B07LFT5XXQ/ref=sr_1_14734?qid=1679153274&s=apparel&sr=1-14734,3.8,85,₹369,₹745,clothing
ANNI DESIGNER Women's Cotton Blend Straight Printed Kurta with Pant (Funnu Blue New),women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/717AuTyJFYL._AC_UL320_.jpg,https://www.amazon.in/ANNI-DESIGNER-Funnu-Blue-New_L_Blue_Large/dp/B09Y68BZTZ/ref=sr_1_3607?qid=1679152873&s=apparel&sr=1-3607,3.8,386,₹419,"₹2,599",clothing
ANNI DESIGNER Women's Cotton Blend Straight Printed Kurta with Pant (Funnu Blue New),women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/717AuTyJFYL._AC_UL320_.jpg,https://www.amazon.in/ANNI-DESIGNER-Funnu-Blue-New_L_Blue_Large/dp/B09Y68BZTZ/ref=sr_1_3607?qid=1679152873&s=apparel&sr=1-3607,3.8,386,₹419,"₹2,599",clothing
Vorcia Febtex Combo of 2 Feeding Kurti | Kurtis | 3/4th Sleeves Kurti | Rayon Kurti | Maternity wear | Women Kurti,women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51bK0h2mbdL._AC_UL320_.jpg,https://www.amazon.in/Vorcia-Febtex-Feeding-Sleeves-Maternity/dp/B0BQF11PMX/ref=sr_1_16180?qid=1679153325&s=apparel&sr=1-16180,4.5,3,₹799,"₹1,699",clothing
Vorcia Febtex Combo of 2 Feeding Kurti | Kurtis | 3/4th Sleeves Kurti | Rayon Kurti | Maternity wear | Women Kurti,women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51bK0h2mbdL._AC_UL320_.jpg,https://www.amazon.in/Vorcia-Febtex-Feeding-Sleeves-Maternity/dp/B0BQF11PMX/ref=sr_1_16180?qid=1679153325&s=apparel&sr=1-16180,4.5,3,₹799,"₹1,699",clothing
JAIPUR HAND BLOCK Womens Cotton Long White Holi Kurta,women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/718fRXMRkcL._AC_UL320_.jpg,https://www.amazon.in/JAIPUR-HAND-BLOCK-Womens-Cotton/dp/B0BT51G1WZ/ref=sr_1_14490?qid=1679153266&s=apparel&sr=1-14490,5.0,1,₹499,"₹1,950",clothing
TOPLOT Sleeveless Black Top for Women,women's clothing,Clothing,https://m.media-amazon.com/images/I/61CjithImLL._AC_UL320_.jpg,https://www.amazon.in/TOPLOT-Sleeveless-Black-Women-T-Tunic-5025-S/dp/B0B6HTYTYD/ref=sr_1_12431?qid=1679153190&s=apparel&sr=1-12431,4.0,19,₹399,"₹1,799",clothing
Clovia Women's Cotton Rich Non-Padded Non-Wired Bra with Double Layered Cups,women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61Q2SIhScmL._AC_UL320_.jpg,https://www.amazon.in/Clovia-Non-Padded-Non-Wired-Layered-BR0636A22_Pink_34D/dp/B072NBRBKS/ref=sr_1_1010?qid=1679152775&s=apparel&sr=1-1010,3.7,"2,405",₹259,₹599,clothing
Clovia Women's Cotton Rich Non-Padded Non-Wired Bra with Double Layered Cups,women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61Q2SIhScmL._AC_UL320_.jpg,https://www.amazon.in/Clovia-Non-Padded-Non-Wired-Layered-BR0636A22_Pink_34D/dp/B072NBRBKS/ref=sr_1_1010?qid=1679152775&s=apparel&sr=1-1010,3.7,"2,405",₹259,₹599,clothing
Amazon Brand - Myx Women's Cotton Kurta,women's clothing,Clothing,https://m.media-amazon.com/images/I/81gdSnjOOBL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Myx-Asymmetrical-Hemline-SS18MGCLST3C_Multi-colored_medium/dp/B078JKC8MF/ref=sr_1_5668?qid=1679152944&s=apparel&sr=1-5668,4.0,811,₹282,₹999,clothing
Calendar Women's Plain Weave Georgette Printed Silk Saree With Unstitched Blouse Piece,women's clothing,Clothing,https://m.media-amazon.com/images/I/41qdDxLNDVL._AC_UL320_.jpg,https://www.amazon.in/Calendar-Georgette-Saree-Blouse-Multicolor/dp/B07B78P2Q3/ref=sr_1_14926?qid=1679153281&s=apparel&sr=1-14926,3.4,206,₹795,"₹2,999",clothing
Lovable Women's Cotton Brief (Pack of 3)(Colors May Vary),women's clothing,Clothing,https://m.media-amazon.com/images/I/A19fWLsgiUL._AC_UL320_.jpg,https://www.amazon.in/Lovable-Womens-Floral-Cotton-1600-99P_Assorted_XX-Large/dp/B0166MWTGS/ref=sr_1_13014?qid=1679153213&s=apparel&sr=1-13014,3.8,261,₹660,₹705,clothing
GLARE & BLAIR Ribbed Sleeveless Tank Bodycon Mini Cami Dress for Women,women's clothing,Clothing,https://m.media-amazon.com/images/I/41fCSg7PuqL._AC_UL320_.jpg,https://www.amazon.in/GLARE-BLAIR-Ribbed-Sleeveless-Bodycon/dp/B0BDWMPMF2/ref=sr_1_3226?qid=1679152859&s=apparel&sr=1-3226,4.2,14,₹489,₹999,clothing
MORE N MORE TRENDZ Embroidered Banarasi With Diamond Work Organza Saree,women's clothing,Clothing,https://m.media-amazon.com/images/I/81BawOzOMbL._AC_UL320_.jpg,https://www.amazon.in/MORE-TRENDZ-Embroidered-Banarasi-Diamond/dp/B0BJ2N7L23/ref=sr_1_15233?qid=1679153293&s=apparel&sr=1-15233,5.0,3,"₹1,690","₹4,050",clothing
"Zivame Women's Synthetic Non Padded Wire Free T-Shirt, Molded Bra",women's clothing,Clothing,https://m.media-amazon.com/images/I/611DaAwS2XL._AC_UL320_.jpg,https://www.amazon.in/Zivame-Womens-T-Shirt-ZI1882-Georgia-Peach_Orange_34d/dp/B07XGJGNRR/ref=sr_1_8881?qid=1679153059&s=apparel&sr=1-8881,4.1,"1,021",₹314,₹449,clothing
"Miraan Cotton Printed Readymade Salwar Suit For Women(BANDCOLOR805, Grey)",women's clothing,Clothing,https://m.media-amazon.com/images/I/71nZlYdJc-S._AC_UL320_.jpg,https://www.amazon.in/Miraan-Cotton-Printed-Readymade-BANDCOLOR805L/dp/B091KQ5Q55/ref=sr_1_8189?qid=1679153035&s=apparel&sr=1-8189,3.7,188,₹845,"₹3,330",clothing
S.K. Textiles Women's Satin Petticoat (SKT19_White_Medium) (41-45 inches waist),women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61cKBrzWS7L._AC_UL320_.jpg,https://www.amazon.in/S-K-Textiles-Womens-Petticoat-SKT19_White_Medium/dp/B07CPT8SGX/ref=sr_1_11143?qid=1679153141&s=apparel&sr=1-11143,3.7,48,₹285,₹666,clothing
S.K. Textiles Women's Satin Petticoat (SKT19_White_Medium) (41-45 inches waist),women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61cKBrzWS7L._AC_UL320_.jpg,https://www.amazon.in/S-K-Textiles-Womens-Petticoat-SKT19_White_Medium/dp/B07CPT8SGX/ref=sr_1_11143?qid=1679153141&s=apparel&sr=1-11143,3.7,48,₹285,₹666,clothing
OM SAI LATEST CREATION Women's Cotton Polyester Blended Regular Fit Solid Top | Casual 1/3 Sleeve Tops for Girls,women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61fBX4dLFCL._AC_UL320_.jpg,https://www.amazon.in/OM-SAI-LATEST-CREATION-Polyester/dp/B09XN6JGZ9/ref=sr_1_2732?qid=1679152840&s=apparel&sr=1-2732,4.5,2,₹239,"₹1,999",clothing
